Kabupaten/ Kota,new_cases,hospitalization_rate,mortality,testing,tracing_ratio,bed_occupancy_rate,vaksin_umum,vaksin_lansia,ppkm
KOTA JAKARTA PUSAT,3.39,0.98,0.33,2.34,0,4.65,186.81,117.02,2
KOTA SABANG,2.83,,0,2.7,0,0,80.2,82.28,2
KOTA JAKARTA SELATAN,2.54,0.26,0.04,1.97,0,2.81,140.97,128.46,2
KOTA PRABUMULIH,2.51,2.01,0,13.89,0,3.28,83.39,63.86,2
SARMI,2.42,,0,50,0,0,39.51,18.41,3
MOROWALI,2.34,,0,50,0,0,85.24,27.56,3
MALINAU,2.19,,0,22.22,0,0,70.61,67.34,2
KOTA JAKARTA UTARA,2.15,0.64,0,2.27,0,6.63,111.61,86.32,2
KUTAI BARAT,1.98,,0,2.7,0,14.71,87.22,54.95,2
TOJO UNA UNA,1.89,,0,42.86,0,1.59,32.16,22.29,3
BADUNG,1.88,,0,2.28,0,0.26,112.8,76.86,2
KOTA JAKARTA BARAT,1.86,0.26,0,1.8,0,6.39,99.73,85,2
SLEMAN,1.85,1.92,0.15,3.9,0,2.77,89.99,79.13,2
KOTA TOMOHON,1.79,,0,8.33,0,0,82.75,85.11,2
BERAU,1.66,0.83,0.83,3.28,0,6.29,75.01,60.41,2
SITARO,1.48,,0,33.33,0,5.56,62.17,59.42,2
BULUNGAN,1.47,,0,6.67,0,0,75.89,61.21,2
BOVEN DIGOEL,1.38,,0,50,0,0,48.99,18.24,3
BLITAR,1.36,0.26,0,4.48,0,1.6,70.57,71.38,2
KOTA SURAKARTA,1.34,1.92,0.19,2.37,0,10,124.36,91.81,2
KOTA TANGERANG SELATAN,1.27,0.06,0,1.66,0,1.13,81.97,72.49,2
KOTA JAKARTA TIMUR,1.25,0.2,0,1.25,0,3.9,91.01,80.46,2
TOLI TOLI,1.24,1.24,0,37.5,0,10.53,52.73,35.38,3
BENGKALIS,1.22,,0,2.17,0,4.18,69.19,55.71,2
KUTAI TIMUR,1.21,,0,5.1,0,0.71,77.67,73.33,2
KOTA TEGAL,1.2,0.8,0.4,3.9,0,8.29,101.49,67.35,2
JOMBANG,1.17,1.64,0,6.73,0,4.76,71.7,55.46,2
KOTA TARAKAN,1.1,,0,1.2,0,6.18,77.4,64.71,2
KULON PROGO,1.1,0.44,0,3.91,0,6.47,83.77,73.18,2
KOTA SURABAYA,1.09,0.2,0,1.07,0,2.78,106.6,95.36,2
BANGKA TENGAH,1,,0,12.5,0,0,72.78,59.11,2
KOTA JAMBI,0.99,1.81,0,1.77,0,2.94,85.43,63.47,2
MINAHASA UTARA,0.97,,0,10,0,0.14,54.55,52.17,2
KOTA MEDAN,0.94,0.38,0,4.37,0,4.22,80.44,61.26,2
KOTA BALIKPAPAN,0.92,,0,0.5,0,0.67,97.85,78.76,2
KOTA DEPOK,0.91,0.27,0,1.43,0,5.16,71.71,68.02,2
MUARA ENIM,0.89,0.3,0.6,3.39,0,9.69,68.34,50.74,2
MIMIKA,0.89,,0,6.06,0,0,57.79,24.58,3
KOTA YOGYAKARTA,0.88,,0,1.37,0,1.52,197.33,120.01,2
BANGKA,0.87,1.16,0,4.69,0,4.41,70.17,68.09,2
BENGKULU TENGAH,0.85,,0,12.5,0,0,83.63,90.88,2
GUNUNG MAS,0.83,,0,3.85,0,0,61.99,38.25,3
BANGGAI KEPULAUAN,0.83,,0,33.33,0,0,32.37,19.04,3
KOTA MAGELANG,0.82,,0,6.25,0,0.54,129.2,95.02,2
SERDANG BEDAGAI,0.81,0.16,0,20.83,0,2.56,72.21,84.65,2
KOTA BOGOR,0.8,0.98,0,1.11,0,2.26,83.98,75.43,2
KAUR,0.79,,0,10,0,0,80.65,86.32,2
KONAWE,0.79,,0,22.22,0,0,61.91,49.76,2
PULANG PISAU,0.77,,0,2.33,0,0,68.19,56.5,2
KOTA BANDUNG,0.77,0.42,0,1.19,0,2.9,94.85,78.17,2
KOTA MOJOKERTO,0.75,1.51,0,3.7,0,2.69,117.33,77.72,2
MEMPAWAH,0.74,,0,14.29,0,5.1,59.85,48.88,2
DAIRI,0.7,0.7,0,9.52,0,1.46,79.35,75.38,2
KOTA BEKASI,0.69,0.09,0,1.91,0,1.05,77.87,73.93,2
KOTA SORONG,0.69,,0,10,0,0,49.71,29.35,3
MANGGARAI TIMUR,0.67,,0,18.18,0,0,67.22,59.85,2
MANGGARAI BARAT,0.67,,0,11.11,0,0,73.21,65.92,2
DELI SERDANG,0.66,0.04,0,5.76,0,0.15,68.92,84.51,2
NAGEKEO,0.66,,0,4.76,0,0,66.18,55.38,2
PESAWARAN,0.65,0.43,0,3.57,0,4.76,61.16,53.45,2
BANTUL,0.65,0.09,0,2.19,0,1.67,81.08,74.38,2
PENAJAM PASER UTARA,0.62,0.62,0,3.57,0,8.16,76.83,67.37,2
KOLAKA UTARA,0.62,,0,9.09,0,0,58.04,46.95,2
KOTA SUKABUMI,0.6,,0,0.61,0,3.23,91.88,108.09,2
KOTA TEBING TINGGI,0.58,0.58,0,8.33,0,1.59,80.05,109.76,2
KOTA DENPASAR,0.58,0.67,0,1.47,0,2.44,142.43,98.77,2
NAGAN RAYA,0.58,,0,25,0,0,69,66.92,2
BUOL,0.58,,0,50,0,0,55.19,39.62,3
KOTA SAMARINDA,0.57,0.34,0,1.12,0,1.79,82.58,76.39,2
BARRU,0.57,,0,11.11,0,0,64,43.03,2
NGANJUK,0.56,0.09,0,1.31,0,1.36,73.25,59.33,2
KOTA MADIUN,0.56,1.68,0,1.33,0,17.14,102.18,70.99,2
KATINGAN,0.56,,0,2.63,0,0,76.08,64.04,2
KLUNGKUNG,0.55,,0,1.1,0,0,90.82,84.77,2
KOTA SERANG,0.55,,0,3.85,0,1.87,71.53,48.41,2
KAPUAS,0.54,0.27,0,1.21,0,2.65,75.45,94.02,2
TOBA SAMOSIR,0.54,,0,5,0,0,84.6,77.66,2
KOTA BANDAR LAMPUNG,0.53,0.71,0,1.62,0,0.39,79.03,55.95,2
KOTA BONTANG,0.53,,0,2.04,0,0,81.29,75.51,2
BEKASI,0.53,0.14,0,2.66,0,1.46,72.49,65.75,2
KOTA BANJAR,0.53,0.53,0,1.79,0,0,75.75,66.54,2
KOTA BENGKULU,0.52,0.52,0,4,0,2.38,69.91,53.28,2
KOTA PALEMBANG,0.51,0.51,0.06,1.69,0,5.7,73.32,53.6,2
HUMBANG HASUNDUTAN,0.51,,0,12.5,0,0,88.05,86.14,2
KOTA PEKANBARU,0.5,0.58,0,1.99,0,1.86,89.17,63.16,2
PENUKAL ABAB LEMATANG ILIR,0.5,,0,3.13,0,0,69.73,50.58,2
TANGERANG,0.5,0.07,0,1.69,0,1.61,68.26,84.33,2
MUSI RAWAS UTARA,0.5,,0,6.25,0,0,78.99,105.68,2
KOTA SALATIGA,0.49,,0,9.09,0,0,104.27,70.8,2
KOTA PALU,0.49,0.73,0,2.33,0,1.61,74.09,47.24,2
KOTA PASURUAN,0.49,,0,0.49,0,0,96.32,78.17,2
TULUNGAGUNG,0.47,0.09,0,5.38,0,1.21,71.32,59.02,2
KOTA KENDARI,0.47,,0,3.92,0,0,69.09,45.95,2
KARANGASEM,0.47,0.24,0,1.83,0,3.17,80.48,73.88,2
MINAHASA SELATAN,0.47,,0,7.69,0,2.78,56.42,55.87,2
BANGKA SELATAN,0.47,,0,0.46,0,0,71.39,63.08,2
LAMPUNG TIMUR,0.46,,0,5.26,0,2.52,55.36,46.06,2
KOTA MANADO,0.46,0.23,0,3.64,0,0.43,88.54,68.54,2
PONOROGO,0.46,0.11,0,6.45,0,17.27,71.68,62.05,2
KOTA TANJUNG PINANG,0.45,,0,0.92,0,3.03,86.06,86.29,2
SOPPENG,0.43,,0,14.29,0,0,70.72,55.98,2
WAY KANAN,0.43,,0,8.7,0,0,74.71,64.49,2
LOMBOK UTARA,0.43,,0,6.67,0,0,83.12,84.79,2
KOTA TANGERANG,0.43,0.21,0,0.6,0,1.36,82.37,71.88,2
KOTA PADANGSIDIMPUAN,0.42,,0,14.29,0,0,71.35,70.69,2
SUMEDANG,0.42,,0,3.33,0,0.69,75.28,72.49,2
KOTA KUPANG,0.42,,0,0.63,0,0.31,78.65,62.74,2
TORAJA UTARA,0.42,,0,6.25,0,5.71,69.58,63.63,2
KARIMUN,0.41,,0,1.85,0,0,78.33,61.02,2
PURWAKARTA,0.41,0.1,0,1.19,0,3.87,72.74,74.69,2
BANDUNG BARAT,0.41,0.06,0,1.32,0,1.55,73.47,96.44,2
ASAHAN,0.4,0.27,0,10,0,2.22,72.67,82.44,2
EMPAT LAWANG,0.38,0.38,0,5.88,0,5,70.28,86.33,2
LAMPUNG SELATAN,0.38,,0,4,0,0,65.38,63.87,2
KOTA PEMATANGSIANTAR,0.38,0.38,0,3.33,0,2.45,83.91,72.6,2
DOMPU,0.37,,0,2.04,0,0,84.23,71.3,2
HULU SUNGAI TENGAH,0.36,,0,0.35,0,3.25,70.01,64.78,2
TULANG BAWANG BARAT,0.36,,0,6.67,0,0,73.05,70.42,2
BOGOR,0.35,0.14,0,1.03,0,3.49,71.86,89.82,2
KOTA BANJARBARU,0.35,,0,1.72,0,2.17,81.21,72.42,2
KOTA KEDIRI,0.34,,0,1.04,0,0,118.44,66.09,2
SIDOARJO,0.33,0.13,0,1.02,0,1.18,76.47,64.07,2
PADANG LAWAS UTARA,0.33,,0,33.33,0,0,81.77,102.32,2
KOTA PALANGKARAYA,0.33,,0.33,0.37,0,11.37,91.9,66.17,2
SUKOHARJO,0.33,0.22,0,1.12,0,3.65,80.19,67.78,2
KAMPAR,0.33,,0,1.88,0,3.57,63.95,56.31,2
KOTA CIMAHI,0.33,0.82,0,1.16,0,9.09,87.67,73.47,2
TAPANULI UTARA,0.32,,0,4.35,0,0,85.1,81.5,2
DONGGALA,0.32,,0,5.26,0,0,47.95,37.55,3
LAMPUNG BARAT,0.32,,0,5.88,0,0,71.78,58.14,2
LAMPUNG UTARA,0.32,0.16,0,5.71,0,1.98,65.08,54.58,2
LUWU TIMUR,0.32,0.32,0,8.33,0,0.7,70.08,59.6,2
KOTA DUMAI,0.32,,0,2.04,0,0.27,73.06,53.4,2
LUWU UTARA,0.31,,0,12.5,0,16.67,55.71,67.59,2
KUANTAN SINGINGI,0.31,,0,2.94,0,0,67.13,59.11,2
SIKKA,0.31,0.31,0,1.11,0,3.13,69.61,53.52,2
KONAWE SELATAN,0.3,,0,7.14,0,0,52.13,43.16,2
MUSI BANYUASIN,0.29,0.15,0,2.67,0,0.39,67.93,48.08,2
MINAHASA,0.29,0.29,0,4.35,0,1.85,53.59,53.57,2
TANAH LAUT,0.28,,0,7.14,0,0,68.55,60.73,2
LABUHANBATU SELATAN,0.27,,0,9.09,0,0,72.42,87.56,2
LABUHANBATU UTARA,0.27,,0,10,0,0,78.43,85.23,2
MOJOKERTO,0.26,,0,1.38,0,5.24,77.8,63.85,2
BUNGO,0.26,,0,1.37,0,0,64.31,53.76,2
KUTAI KARTANEGARA,0.25,,0,0.25,0,5.26,71.25,56.34,2
WAJO,0.24,,0,20,0,0,53.81,41.61,2
PRINGSEWU,0.24,0.24,0,1.27,0,1.21,66.99,52.24,2
SIMALUNGUN,0.23,0.11,0,4.26,0,4.08,68.08,72.58,2
POLEWALI MANDAR,0.22,0.22,0,1.89,0,4.81,47.13,36.41,3
OGAN ILIR,0.22,,0,2.17,0,0,68.39,58.39,2
KARO,0.22,,0,7.69,0,0,83.66,78.06,2
KARANGANYAR,0.22,,0,1.26,0,0.64,83.77,77.66,2
TASIKMALAYA,0.22,,0,2.26,0,0,73.51,88.45,2
TABANAN,0.22,,0,0.3,0,0.62,94.08,88.57,2
MUARO JAMBI,0.21,,0,1.06,0,0,68.37,65.81,2
TIMOR TENGAH SELATAN,0.21,,0,2.38,0,0,56.09,44.32,2
KARAWANG,0.21,,0,0.78,0,0.27,74.53,75.29,2
KOTA SEMARANG,0.21,0.05,0,0.92,0,0.77,105.21,83.04,2
TEGAL,0.21,,0,3.95,0,0.29,60.75,63.92,2
BANDUNG,0.21,,0,0.73,0,5.26,73.25,92.04,2
PASAMAN BARAT,0.21,,0,7.69,0,29.84,71.82,87.82,2
BOYOLALI,0.2,,0.1,1.37,0,0.1,80.17,69.47,2
SIAK,0.19,,0,1.49,0,0,69.56,66.06,2
BIMA,0.19,,0,3.7,0,0,83.3,96.7,2
KEDIRI,0.19,,0,0.8,0,2.67,69.38,56.73,2
GARUT,0.19,,0,0.76,0,0.9,76.65,121.98,2
SAMBAS,0.18,,0,0.76,0,0,65.04,48.81,2
PASURUAN,0.18,,0,0.58,0,0,65.62,64,2
